study_hours,attendance,sleep_hours,internet_usage,assignments_completed,previous_score,exam_score
10,84,6.7,3.3,2,46,62.69
6,53,7.5,1.1,6,31,61.7
5,48,5.2,1.3,10,97,82.01
7,82,5.4,2.3,10,65,79.55
15,61,8,6.2,6,48,77.74
18,41,8.3,2,6,80,87.06
14,93,8.5,4.8,6,90,100
10,40,5.2,8.7,4,77,59.48
9,44,8.7,4.5,6,80,72.81
15,40,4.2,5.9,4,72,69.87
4,61,7.6,1.9,6,68,64.58
14,93,7.5,5.6,9,46,83.4
4,62,4,8.4,10,82,74.08
14,46,7.7,8,1,72,68.78
11,63,4.8,3.2,2,47,59.94
18,99,4.2,5.5,8,54,96.3
15,80,5.5,4.1,4,37,74.06
10,71,9,2.6,5,55,75.1
2,89,4.5,2,5,50,63.45
11,72,7.4,8.5,7,87,87.53
18,74,4.9,1.4,1,86,83.9
19,41,8.8,1.2,5,98,100
17,40,7.5,6.3,1,99,79.18
10,92,8.5,2.6,3,77,88.49
11,84,7.8,6.9,5,53,66.7
12,76,6,3.9,7,41,67.38
7,90,6.2,6.3,8,58,69.16
10,88,5.7,4.7,2,86,82.43
11,89,8.3,1.9,6,30,72.6
12,73,6.9,9.2,0,43,57.07
6,51,4.6,2.8,6,96,77.21
13,43,4,5.6,4,88,72.64
3,48,7.4,6.7,8,59,53.96
16,57,6,2,1,61,72.82
19,78,7.8,5.3,9,46,89.86
11,84,6,1.4,3,57,72.95
16,87,6.7,5.7,5,48,78.45
18,95,7.1,4.6,10,43,94.42
9,89,5.2,6.2,6,61,68
19,40,7.2,5.2,7,66,85.13
20,94,7.9,7.6,4,65,87.93
9,95,8,3.5,0,87,76.99
6,87,6.1,4.5,5,66,72.82
10,89,6.3,4.2,9,43,79.88
1,99,8,3.3,5,95,78.06
20,73,5.6,6.6,9,36,82.11
20,85,7.9,9.7,5,94,100
15,72,7.8,9.3,7,72,83.76
18,44,5.9,5.7,3,69,75.71
16,93,8.8,2.9,7,42,90.79
15,69,8.8,1.8,10,54,89.91
1,81,7.1,5.4,8,57,63.92
6,49,5,7.4,8,71,63.24
8,97,4.9,6.2,9,73,80.49
18,61,7.4,1.4,2,58,72.37
5,99,8.1,8.2,5,55,62.67
8,60,7.5,7.4,1,66,58.68
5,56,7,1.5,2,46,48.15
16,71,4.4,4.8,9,72,95.46
19,55,7.6,3.8,5,87,99.21
2,98,8.9,1.3,6,44,67.32
3,52,6.1,3.8,5,65,61.61
13,47,7.8,2,9,61,87.94
20,45,8.8,2.3,10,31,88.02
11,41,6.2,4.6,2,51,58.82
18,81,5.2,7.4,0,76,75.12
10,66,6.8,4.2,10,30,74.7
12,63,5.6,9.5,9,72,74.18
14,53,7.5,4.9,7,93,90.8
18,78,8,3.8,3,59,84.25
16,66,8.3,2.7,9,37,79.51
14,42,4.1,2.6,3,81,73.61
5,100,8.8,9,9,32,62.86
6,49,4.3,5,5,32,44.01
15,89,7,4.9,7,33,81.86
3,61,7.4,2.6,0,56,49.44
7,56,5.5,1.3,6,90,83.73
4,64,4.9,1.7,10,54,72.01
8,77,7.7,8.7,1,50,54.93
13,90,7.2,2.3,0,73,74.23
16,45,4.8,9.3,0,37,51.28
5,96,4.7,3.1,7,86,86.82
6,69,7.9,3.8,9,71,80.02
18,74,8.4,8.1,8,48,79.03
7,49,4.8,6.9,0,40,43.38
6,66,8.9,6,4,63,63.17
14,63,6.5,3.9,4,92,85.15
19,66,8.1,8.4,10,84,100
9,68,4.8,6.6,5,52,59.8
7,68,6.8,7.3,7,93,81.53
18,56,4.1,1,9,64,89.32
16,69,6.3,8.8,6,41,65.32
20,72,6.5,5.1,2,99,92.38
13,73,4.3,6.4,8,48,78.03
3,85,7.2,4.4,1,86,60.91
11,52,8.3,1.7,8,84,83.36
13,86,7.6,5.9,0,55,61.11
13,64,5.5,5.2,9,77,89.13
5,69,6.9,2.7,1,52,56.46
9,48,6.8,4.2,5,64,61.06
13,90,4.1,6.2,1,63,68.79
17,68,4,7.3,7,30,69.71
13,71,8.4,1.9,2,35,63.58
4,86,8.7,5.2,4,37,53.76
8,67,8.9,6.2,7,78,79.27
5,81,8.6,4.7,10,36,67.7
3,45,4.2,8.5,0,36,28.81
2,92,4.5,6,5,33,52.32
1,63,4.2,4.1,4,90,58.95
8,85,7.4,2.6,1,31,60.01
6,79,8.5,5.2,9,90,86.78
15,83,7.5,7,5,59,84.27
14,60,7,7.7,7,69,76.75
6,62,4.8,7,10,63,72.49
6,43,5.4,4.6,1,74,56.77
7,68,5.5,9.5,10,76,72.11
7,55,6.3,8,9,59,71.63
14,90,7.8,7.7,10,87,100
4,87,7.4,4.4,0,97,68.87
16,89,4.4,8.2,4,35,69.73
17,59,7.1,4.5,8,40,75.17
19,79,4.2,1.5,5,94,99.2
10,87,4.2,4.2,4,63,69.56
19,79,6.9,4.9,2,63,79.72
8,60,4.7,5,9,43,59.81
4,45,7.5,1.5,8,77,76.76
3,74,5.3,7.1,8,100,81.88
11,78,5.1,2.5,3,75,80.14
14,47,6.5,2.9,10,88,97.53
7,81,5.4,9.4,8,31,62.36
2,96,4.8,6.9,6,63,60.12
20,100,6.5,9.4,0,72,86.42
10,74,8.1,8.4,8,91,93.88
18,95,4.5,6.5,1,66,77.9
9,78,7.6,3.5,4,79,73.08
6,77,5.2,5.1,1,91,70.64
9,83,6.4,8.1,2,40,51.38
3,69,4.9,4,0,64,47.36
5,79,8.2,2.6,7,84,84.93
17,73,7.2,5.1,8,97,100
16,61,5.5,4,4,87,88.55
3,55,5.4,2,9,47,63.99
19,84,8.9,4.7,0,72,89.83
14,51,7.5,4,1,56,60.36
8,73,7,2,4,97,81.69
10,70,7,4.8,10,74,86.59
3,63,6,8.2,2,46,44.46
8,95,8.5,9.7,7,33,66.74
11,79,5.3,1.3,5,59,71.14
2,48,7.5,5,4,60,48.78
7,93,6.2,7.1,10,92,87.7
14,80,7.2,3.6,7,75,90.46
3,91,8,2.2,1,56,59.77
1,71,6.7,2.7,7,99,82.69
2,97,6,1.7,4,74,72.62
17,61,6.6,4.4,5,85,87.18
10,45,6.6,1.3,10,100,97.04
6,61,4.7,9.4,10,96,83.35
13,67,6.9,9.2,5,64,70.61
20,73,7.8,2.6,8,50,98.53
18,58,6.2,1.3,2,35,62.95
8,93,7.4,8.3,8,88,83.72
6,53,7.7,9.3,3,85,68.13
17,67,8.9,2.1,7,91,100
5,67,8.7,7.3,5,53,59.24
17,69,7.7,9.8,3,49,62.47
16,68,6.8,8.5,7,40,77.54
1,66,4.9,5.8,3,64,51.93
12,92,8.4,7.8,10,77,95.84
11,97,6.1,2.7,10,46,90.08
15,71,7.2,7.9,0,62,63.76
11,73,5.8,6.3,3,37,62.11
15,54,7.7,7,2,51,63.65
15,99,8.6,3.8,2,62,77.47
5,61,5.7,3.6,6,96,78.83
8,77,8,9,7,34,58.37
4,66,6.4,6,1,76,60.24
14,80,7.9,3.6,10,88,100
13,93,7.9,8.9,6,31,66.49
9,72,7.4,9.1,10,85,87.27
8,53,4.9,2.6,1,50,48.13
20,61,5.8,5.2,7,33,69.74
14,97,4.8,7.1,4,70,81.7
19,83,8.2,9.6,6,65,83.07
14,41,7.2,6.4,3,37,49.91
2,54,8.3,3.2,8,33,56.39
8,86,8.7,5.5,6,48,71.37
8,62,6.1,6.6,5,100,82.52
3,42,6.7,1.2,1,76,58.26
7,69,5.4,8.3,5,81,68.83
5,80,7.3,5.4,8,88,78.51
11,99,5.9,6.5,10,77,94.18
19,82,8.5,4.2,7,73,100
20,76,5.9,4.3,5,71,95.94
8,84,7.1,2.2,10,40,76.64
10,72,5.8,9,4,39,56.07
20,62,8.7,7.2,2,76,79.26
2,100,6.3,7,8,94,79.73
3,65,7.3,1.9,1,53,46.12
12,71,5.5,3.7,2,37,61.5
2,90,8,2.2,10,79,89.68
9,69,5,5.6,8,48,65.55
2,52,8.1,4.3,3,52,51.5
3,90,4.8,9.9,4,31,46.9
6,77,5,8,3,67,61.38
1,76,5.3,2.6,1,100,71.27
12,85,8.2,2.5,7,70,90.99
2,85,4.1,9.3,7,62,55.13
8,97,4.8,3.7,0,41,55.35
20,45,8.8,8,3,68,80.5
8,56,8,7.4,7,38,55.23
20,89,7.4,4.9,2,89,95.36
14,45,4.9,3.2,2,44,60.15
5,41,7.9,6.6,3,94,59.83
8,42,4.5,6.3,4,34,39.95
17,100,7,6,10,97,100
19,64,7.4,3.7,5,50,76.94
19,46,7.4,8.8,0,95,73.93
7,52,5.6,9.7,3,42,43.23
5,54,7.8,8.9,10,81,75.73
10,99,7.6,7.3,1,91,75.19
7,84,6.7,6.1,9,44,75.49
16,58,4.2,8.3,0,44,49.71
7,90,4.8,7.9,3,64,68.49
9,77,5.8,1.3,7,39,66.48
17,70,7.8,4.1,7,88,97.02
5,62,7.5,6.9,2,58,47.6
13,88,7.7,2.1,0,55,72.59
17,86,4.4,6.9,10,37,79.97
15,94,8.9,9.6,9,78,100
7,43,6.1,8.8,0,31,30.31
20,57,6,6.4,6,80,92.49
8,95,7.6,9.9,3,57,66.65
2,41,6.5,7.7,5,96,66.58
1,77,6.5,9.2,4,36,43.26
7,55,4.9,3.7,0,81,56.88
18,89,6.5,3.6,8,97,100
20,96,7.3,3.2,5,30,86.65
16,51,4.7,8.7,5,99,88.35
5,83,5.9,9.5,4,75,62.43
4,53,7.1,2,9,83,82.15
7,98,5.6,8.8,3,84,73.07
18,98,5,7.4,3,80,93.24
7,49,8.8,5.8,0,63,55.05
14,56,6.2,5.7,6,83,87.92
9,73,6.2,5.3,4,42,58.2
16,89,4.4,1.3,3,43,73.52
12,96,4.8,5,6,34,65.02
12,72,5.5,5.6,1,64,61.84
3,63,6.2,5.9,4,57,55.83
3,44,6.1,4.4,1,69,46.86
1,95,5,4.4,1,96,68.74
13,87,7.7,8,5,73,85.2
9,64,8.9,9.2,2,80,67.39
8,64,6.5,3.3,3,93,75.72
9,91,4.1,3.6,10,64,86.75
11,57,9,8.6,5,82,80.21
1,40,5.2,1.1,1,41,36.45
14,81,8.9,2.4,2,58,82.75
13,91,6.9,9.2,10,46,84.02
15,87,8.4,2.9,8,59,93.05
2,100,6.9,8.5,10,87,78.84
19,52,5.3,8,9,40,74.54
12,42,6.7,1.6,6,63,77.61
1,55,5.4,5.7,4,64,46.7
16,92,6.3,1.1,6,52,91.19
19,61,7.6,6.2,1,69,80.21
20,62,5.3,6.5,6,84,93.07
10,48,8.2,9.8,7,75,76.58
5,70,5.7,5.5,0,44,42.92
3,81,9,2.8,4,89,78.11
10,84,7.8,6.3,3,70,75.75
14,85,5.1,3.1,2,84,80.61
17,78,6.4,1.8,10,35,81.52
15,40,6.3,9.7,1,46,53.16
20,58,7.2,4,6,39,80.79
8,42,8.3,8.9,9,68,71.27
3,84,8.6,3.6,10,61,76.38
12,89,4.7,10,8,55,77.17
16,50,7.4,8.3,5,81,82.38
19,75,4.6,2.9,2,83,92.09
13,57,7.2,9.6,7,42,68.93
11,73,6.8,9,1,97,79.29
15,42,7.4,5.7,9,65,76.86
1,71,7.6,2.1,6,45,52.38
13,56,5.3,7.4,1,43,57.85
17,55,4.3,6.2,5,68,72.48
10,95,8.6,2.9,10,96,100
11,85,4.9,5.5,10,91,100
18,83,8.2,7.6,7,30,72.07
18,75,8.4,6.7,5,61,80.6
4,50,4.4,6.8,8,33,48.39
6,88,4.8,5.3,9,37,67.43
13,66,7.6,2.3,6,76,91.35
7,75,9,8.5,10,76,83.46
14,59,6,8.4,8,47,76.65
1,93,4.1,7.1,7,31,54.35
19,93,8.9,5,3,92,100
2,73,7.2,7.8,6,85,72.31
19,54,4.8,5.5,0,95,77.07
17,57,7,7.1,6,92,93.72
18,68,8.3,9.4,2,82,79.93
16,91,5.4,8.8,5,80,85.23
5,67,6.4,4.2,4,41,56.21
17,50,6.5,5,9,64,86.18
19,62,4,9.3,0,54,58.79
5,88,4.7,2.7,2,80,70.18
8,43,5.1,8.6,6,62,56.41
12,100,6.2,3.2,9,34,86.63
15,88,7.9,3.3,0,78,78.61
3,67,6.6,2.3,2,64,56.45
16,63,4.6,4.1,8,55,80.56
19,77,8.9,1.6,5,56,89.02
14,78,8.7,2.7,7,85,94.41
9,48,4.7,9.5,6,50,58.12
17,54,6.3,9.1,3,93,83.35
6,61,7.8,2.9,0,59,58.03
16,92,7.8,7.3,0,30,61.58
19,59,4.7,2.9,0,56,71.31
1,57,5,3.1,3,45,44.84
18,96,8.1,2.9,4,76,95.8
3,48,5.8,5.4,8,31,45.29
8,68,4.5,5.7,10,77,84.53
4,70,8.7,6.1,6,99,74.84
13,58,5.8,7.4,4,68,72.29
5,46,5.8,7,8,58,59.32
6,67,5.4,3.9,2,87,63.91
20,67,6.6,4.3,3,63,84.88
5,73,9,2.9,9,34,63.7
15,79,8.6,5.2,10,96,100
7,45,7.5,1.2,2,42,51.88
12,88,6.9,7.1,5,76,85.93
1,48,5.7,4.6,6,97,66.6
2,65,7.2,3,4,93,69.9
3,95,5.5,6.1,10,98,89.09
5,75,6.9,7.5,1,30,38
11,51,5.6,8.7,6,51,56.7
11,62,6.8,4.6,10,86,89.5
19,83,8.9,3.1,9,62,100
20,58,4,6,5,71,86.15
10,66,5.8,8,10,77,79.64
16,43,6.6,3,0,49,62.13
3,41,7.3,7.6,7,56,52.27
13,54,7.4,9.8,5,79,76.56
15,53,7.6,8.4,2,56,60.69
17,68,5.3,2.9,1,84,83.77
1,91,4.5,2.1,9,31,57.38
17,67,6,9.7,0,86,70.64
5,66,5.5,9.3,7,55,60.67
17,62,7.1,6.7,4,41,67.83
14,90,4.3,8.3,10,32,76.35
16,46,8.6,3.6,10,76,96.28
18,46,4.1,4.2,7,61,81.61
14,67,8.8,8.5,4,93,89.32
8,74,6.2,5.9,0,71,56.01
19,41,7.3,4.5,5,41,71.05
15,74,8,3.7,7,86,91.79
17,99,7.8,5.5,7,65,92.46
9,62,4.2,8.4,8,70,72.67
17,42,6,7.7,0,49,51.98
17,95,6.9,6.3,10,79,100
20,100,7.2,3.4,3,68,97.33
8,62,5.3,4.7,5,52,66.92
6,92,4.5,4.2,0,60,57.25
3,40,6.6,1.4,5,69,58.66
10,64,6.1,9.1,9,37,60.36
13,56,6.2,5.1,9,45,75.52
3,67,4.4,2.6,5,35,54.75
8,86,6.9,7.1,5,74,75.89
14,85,6.5,9.3,1,35,51.46
10,47,5.6,6.4,3,57,54.94
18,66,7.6,7,0,42,66.2
17,60,5.6,1,0,51,67.65
16,52,7.9,1.1,0,38,56.79
10,91,5.8,5.2,8,41,78.44
18,43,5.9,9.2,1,67,65.92
19,47,4.9,4.6,5,34,70.66
11,47,6.9,7,9,58,76.53
19,66,6.7,1.7,6,93,96.66
1,74,4.1,3.8,2,56,50.41
18,98,7.6,8,5,32,76.3
4,78,6.1,2.4,9,58,69.91
5,44,7.8,3.5,5,50,60.9
2,76,8.4,8.7,4,35,48.17
7,70,8.4,1.7,7,93,87.34
18,62,5.9,7.4,4,99,84.66
13,46,4.3,9.3,2,83,67.93
5,86,4.2,3.1,0,79,63.64
12,100,4.4,3.9,10,41,78.8
4,75,6.2,8.5,1,99,60.47
4,82,7.6,8.8,10,59,76.92
20,94,7,3,0,53,77.99
19,95,7.7,7.9,9,47,86.9
5,54,4.6,3.6,10,73,75.32
18,82,7.4,7.3,1,32,68.66
13,80,4.5,7.9,8,36,74.6
12,41,5.7,1.8,2,36,56.2
14,40,6.6,4.6,4,43,65.62
18,89,4.1,3.3,6,35,82.59
3,84,7.1,9.2,4,34,50.87
18,93,5.2,4.8,5,63,85.26
12,41,8.1,1.1,10,72,91.61
17,42,6.1,2.2,7,63,79.81
14,78,6.8,7.2,10,99,100
12,76,7.3,5.4,2,65,65.7
5,82,7.1,1.1,9,75,84.67
15,98,6.2,3.8,3,98,93.89
13,88,6,1.8,9,74,92.64
4,65,8.7,9.7,7,47,57.48
13,47,6.3,3.6,6,96,84.65
1,48,8.8,9.7,6,46,47.27
15,64,4.4,7.8,6,47,71.2
18,65,6.2,7.9,4,96,85.52
13,96,6.7,9.3,10,82,96.84
2,47,6,4.4,7,92,73.61
10,42,4.8,9.1,7,46,52.44
5,60,4.7,2.6,3,73,57.16
13,93,4.2,5.7,8,69,88.49
3,68,4.9,4.3,0,73,55.55
1,80,5.8,7.6,3,72,52.65
3,52,7.6,5.6,5,82,59.02
20,93,7.1,3.6,2,61,82.76
4,40,7,8.9,9,64,65.9
8,86,4.5,8.3,10,39,65.57
1,91,8.5,9.3,7,95,75.22
7,83,8.2,5.2,7,99,86.7
10,42,7.8,1.9,1,84,73.93
5,54,4.5,5.4,9,96,74.17
4,81,4.1,1.4,10,79,79.18
10,50,8.9,4.1,7,96,91.15
14,91,5.1,4,8,90,98.89
10,89,8.7,4.1,2,83,77.75
10,72,6.6,5.8,3,93,82.81
5,60,5.6,7.7,2,71,50.75
4,44,8.5,9.7,10,53,61.34
11,42,8.9,3.3,5,59,69.63
17,51,6.6,5.2,0,63,65.47
16,67,5.9,4.4,0,98,78.17
18,71,5.5,7.4,8,87,91.3
5,43,7.1,3.8,1,57,50.57
13,75,5.8,2.7,5,47,71.06
4,82,7.3,5.3,4,40,51.84
9,54,4,8.4,0,79,49.98
10,62,4.7,8.1,9,78,84.22
12,85,6.3,3.4,3,57,67.64
20,94,6.4,8.3,10,76,100
8,96,5.4,6.2,7,51,73.55
20,69,4.1,1.2,0,56,76.87
10,54,5.5,6.4,7,76,77.37
18,84,5.8,6,6,38,80.16
17,72,4.5,9.4,8,81,84.14
5,47,5.8,6.3,7,62,56.72
14,98,5.1,2.1,4,35,77.75
7,53,4.6,2.5,3,71,58.94
2,99,8.4,1.1,7,56,76.76
10,86,8.7,7.6,8,57,83.31
18,69,5.5,5.2,7,62,79.93
1,54,6,4.7,5,81,55.05
15,64,8.8,2.3,8,49,79.4
6,90,7.4,5.8,1,57,63.88
17,66,8.3,5.8,7,63,89.91
5,67,5.3,8.1,9,56,61.08
1,98,5.5,8,10,85,81.44
2,97,6,6.9,6,34,59
18,62,8.9,1.9,3,62,84.52
9,53,9,5.7,4,41,52.4
17,82,5.5,8.7,6,74,81.88
9,51,4.6,8.9,3,89,65.76
3,70,7.8,1.2,8,58,74.43
9,80,8.7,1.9,6,73,85.39
12,87,8.9,6,10,77,98.1
9,50,4.4,3.2,9,55,74.94
7,88,8.3,2.7,6,73,83.07
6,71,6,4.8,7,90,80.41
19,53,5.8,6,1,56,71.31
10,45,6.4,10,1,74,52.37
18,41,8.8,6.9,4,52,69.7
16,94,4.7,2.8,9,31,84.69
16,94,6,4.3,0,34,59.13
3,54,7,4,8,30,49.69
6,87,5,9.7,7,50,65.55
9,77,7,1.8,8,80,84.12
13,89,8.1,8.4,7,32,69.01
20,76,8.8,4.1,7,58,94.42
1,64,6.3,9.4,6,89,66.46
13,68,4.9,1.3,10,80,90.5
6,88,5,2.6,4,58,68.5
2,63,6.5,4.5,9,86,82.02
9,98,5.8,9.9,1,76,66
15,79,5,7.9,7,89,85.44
4,83,5.7,7.1,1,89,66.4
7,80,8,7.6,6,30,61.51
19,67,6.5,4.7,8,98,100
18,66,7.8,1.3,8,73,100
16,52,8.7,5.5,7,67,88.09
7,94,6.1,3.4,7,36,63.74
7,49,6.5,8.6,10,84,82.17
12,78,6,8.8,4,72,73.72
13,64,7.1,8.4,10,63,88.49
3,62,5.8,6.7,3,65,57.1
9,95,5.6,1.3,10,46,80.11
12,55,6.2,2.5,10,30,71.4
9,83,8.2,5.7,6,70,84.13
20,56,5.7,1.2,7,74,92
2,89,8.8,5.7,5,59,65.1
7,86,6.7,9.3,9,54,68.38
20,47,5.2,6.4,4,97,83.7
9,91,7.9,5.3,7,56,72.89
9,45,5.8,7.5,6,57,56.33
9,93,4.1,1.9,2,82,75.3
8,95,6.7,6.7,6,56,69.12
10,99,6,3.5,6,64,84.55
13,95,6.2,1.3,3,47,79.63
7,92,7.9,6.6,4,44,60.81
5,90,4.3,9.6,9,66,75.58
3,43,8.4,1.2,10,92,82.16
16,91,6.7,7.1,9,71,91.27
10,73,5.3,8.9,7,90,78.54
7,55,8.3,1.2,1,63,57.43
11,68,8.3,4.3,7,97,94.44
11,41,8.7,9.2,10,53,70.11
6,88,6.3,7.5,8,90,82.67
16,43,6.4,6.7,8,45,76.63
20,51,5.2,7.5,1,57,67.33
5,52,6.5,3.3,9,96,88.78
4,84,7.7,2.9,3,93,76.07
17,68,4,9.2,8,31,67.97
3,88,4.2,8.2,6,76,62.37
1,92,6.1,1.4,0,88,65.95
18,83,7.2,5,4,95,100
1,54,5.3,8.6,5,89,55.92
11,82,5.4,7.1,4,63,71.82
16,51,6.6,6.5,3,45,67.17
18,95,8.1,3.2,10,79,100
9,55,7.7,1.7,7,96,86.5
20,72,8.1,9.5,4,35,71.63
19,97,5.6,7.7,3,33,67.97
6,80,4.2,6.6,5,85,66.5
11,49,6.1,6.6,0,45,50.39
6,53,8.2,6.8,2,81,60.66
8,41,8.8,8.4,2,61,51.51
13,62,5.3,1,3,33,59.44
19,47,8,3.5,0,53,69.74
7,99,4.8,2.1,10,75,87.49
18,98,5.6,1.2,2,55,78.36
18,48,7.5,7.8,6,96,87.32
2,59,6.6,2.1,0,60,52.49
2,98,8.8,3.7,4,87,74.57
17,62,6.2,8.4,9,87,99.26
19,91,6.6,7.7,4,72,90.73
11,55,6.6,1.9,1,98,73.55
5,95,7.4,7.9,2,85,75.81
5,77,5.8,9.6,8,73,67.13
12,63,7.2,7.2,8,97,93.53
3,61,8.5,6.3,3,36,49.89
4,76,6.1,7.5,9,72,77.56
9,87,6.5,4.5,10,73,83.93
10,72,6.8,6.3,1,71,68.31
17,76,4.7,3.3,6,67,81.33
11,41,6.2,8.7,9,76,73.85
12,78,7.5,8,3,77,80.23
17,72,4.4,1.6,2,49,70.54
11,59,6.2,8.5,10,93,94.6
9,63,6.9,2.6,4,45,57.24
17,68,4.7,3.6,9,61,88.53
16,79,4.2,5.4,4,72,85.7
20,58,6.7,3.8,6,89,100
4,67,6.1,2.8,9,73,79.73
16,47,4.8,4.3,3,73,77.83
6,89,6.3,5,9,32,64.92
4,90,4.8,8,2,92,63.23
16,65,5.8,8.2,4,77,83.99
7,57,4.5,9.2,10,36,52.02
10,63,5.7,3.2,4,75,71.46
11,96,8.2,9.3,2,45,62.53
18,82,5.1,4.4,10,91,100
14,66,6.5,6,9,75,92.2
10,91,7.7,1.8,8,83,99.1
2,58,5,5.3,5,72,60.17
18,60,7.8,1.8,9,88,100
8,65,6.8,9,9,61,76.05
14,42,6.6,9.6,8,94,85.58
1,45,4.2,4.3,8,55,54.26
3,46,5.8,2.8,0,50,39.03
2,42,7.1,2.7,10,60,67.81
19,67,5.2,6.3,2,30,63.58
8,74,6.8,5,2,38,53.98
20,53,6.6,3.5,7,96,96.66
14,89,6.3,4.6,4,47,76.68
18,54,5.5,7.3,2,67,67.24
13,67,5.5,3.5,6,69,77.45
1,56,6.3,6,10,51,62.6
20,92,6.2,3.2,9,71,100
18,70,6.2,8.7,4,51,70.17
17,68,7.3,3.8,4,79,91.65
7,90,6.8,7.3,3,41,60.58
11,91,6.2,3.8,2,55,70.67
1,100,4.8,4.4,9,31,64.22
19,91,5.9,7.9,9,79,100
17,44,8.8,2.1,8,53,87.84
19,90,8,3.2,10,47,95.4
18,71,4.7,9.1,3,89,79.98
16,85,6.8,3.4,6,38,74.86
14,71,8.6,7.4,8,71,87.62
8,43,8.6,8.1,5,79,69.81
11,83,7.9,7,10,77,96.44
15,72,5.9,7.1,0,75,68.53
5,98,6,7.7,10,84,84.23
9,100,7,2.9,6,58,76.39
2,63,6.1,3.3,6,75,62.28
9,91,5.3,1.4,4,49,64.66
17,67,6.2,5.1,1,77,73.24
8,60,4.4,6.2,9,97,82.85
1,91,5.7,4.4,1,60,49.58
18,60,4.2,1.8,4,54,80.59
6,85,6.8,8.8,7,84,77.54
7,51,8.3,7,0,65,47.76
7,75,4.5,4.6,8,39,66.09
16,42,4.2,2.4,9,40,73.28
12,69,8.5,6.9,4,82,78.49
20,41,5.7,2.2,0,53,64.31
20,67,4.5,2,4,57,79.55
17,92,5,3.8,0,91,86.85
12,47,5.1,4.9,0,49,55.34
5,46,6,6.3,4,73,61.54
7,92,6.3,3.5,7,60,82.56
5,42,5.4,1.7,2,86,58.96
3,51,6.1,4.7,6,35,43.18
7,65,4.4,4.7,5,73,67.65
14,88,4.7,5.1,5,73,79.54
15,100,4.7,1.5,3,81,92.19
16,87,4.3,5.1,5,44,68.5
12,97,7.7,8.6,10,85,99.49
2,67,6.9,3.9,1,39,47.59
3,84,6.6,8.6,7,55,65.94
8,63,8,2.7,3,59,59.05
12,57,6.6,7.6,5,40,64.02
14,61,6.4,1.5,7,67,80.89
4,85,6.6,1.3,4,52,62.22
9,66,7.7,8.1,10,72,84.81
19,41,4.7,1.3,1,38,58.37
10,74,6.5,8,1,36,51.18
7,58,6,4.3,3,58,63.47
7,88,5.2,3.8,5,68,69.46
2,40,6.9,5.9,4,45,41.05
9,54,6.3,5,10,48,65.91
15,40,8.1,7.7,7,37,60.06
6,61,7.5,8.9,2,100,73.53
8,95,5.1,9.2,9,90,83.58
18,63,5.9,2,6,86,93.93
12,78,4.5,9.6,3,60,58.27
3,43,7.4,7.5,9,40,55.72
20,89,6.7,3.2,10,39,94.55
7,96,5.9,6.8,0,96,74.41
9,86,5.5,4.5,10,67,91.04
12,92,4.7,7.7,9,55,85.92
12,69,4.1,5.5,6,77,72.75
9,65,4.9,1.1,8,71,79.63
6,68,4.6,7,2,82,56.03
5,99,8.2,6.9,1,45,56.12
17,95,8.3,7.7,0,58,73.94
1,77,7.2,6.3,9,30,58.66
3,81,6.3,1.4,3,47,56.31
13,82,4.8,1.2,10,97,100
16,94,6.5,1.4,4,89,93.91
13,72,4.6,9.6,1,72,63.54
20,98,6,4.9,7,87,100
11,78,5.8,7.3,9,44,78.95
6,49,4.2,8.8,1,56,40.51
8,94,8.6,8.5,10,88,98.08
17,90,7.4,2.6,0,36,68.63
4,67,6.3,3.4,8,83,79.38
7,63,6.7,6,1,92,70.01
9,72,6.2,9.8,7,87,80.63
12,95,8.9,9.4,10,72,95.69
10,53,6.7,4.4,9,90,90.71
6,62,4.7,1.3,1,55,47.78
13,97,5.3,6.8,1,49,63.69
16,47,6.9,6.1,9,54,75.86
8,83,4.2,6.6,3,91,74.87
2,60,7.2,5.8,8,91,73.33
8,61,8.2,2.6,2,36,48.92
9,89,6.7,5.4,7,94,86.88
6,75,4.8,6.3,10,55,68.69
12,47,6.3,6.1,2,46,49.66
8,45,6.2,5.1,6,72,72.46
1,90,5.2,6.9,10,86,78.22
2,60,5.6,5.3,10,93,81.32
19,45,6.3,2.8,2,68,72.65
11,53,5.7,5.5,1,38,50.77
16,62,4.2,6.3,7,50,68.24
9,72,4.2,8.1,6,77,71.85
12,66,4.9,6.5,3,55,63.4
14,74,5.9,8.4,7,30,69.26
18,60,5.6,4.6,4,59,79.81
19,81,8.6,3.4,1,37,76.1
3,41,5.5,8.7,9,90,65.58
7,62,5.4,6.3,1,30,35.66
17,91,4.4,5.9,10,83,100
20,81,4.6,9.6,10,61,91.01
11,53,6.6,8.2,10,39,62.28
11,85,6.5,8.7,4,88,79.28
2,81,4.5,9.8,6,66,62.55
6,64,4.9,8.5,5,71,59.19
6,40,8.6,9.7,3,73,57.93
13,79,7.5,2.5,10,61,92.99
1,71,8.2,1.8,7,61,69.09
8,57,5.9,9.2,9,73,77.13
9,70,7.4,7.5,0,83,60.19
8,99,6.9,8.7,1,36,52.23
12,46,6,4,1,63,61.69
3,87,4.9,9.2,2,67,55.73
16,61,6,4.4,0,73,70.48
3,73,7.7,9.2,4,45,45.89
7,67,6,7.6,0,47,45.86
20,91,8.6,4,6,70,100
